alpha: 1.0, beta: 0.0
Epoch [0/1000], Loss: 1.8813
Epoch [50/1000], Loss: 0.0592
Epoch [100/1000], Loss: 0.0431
Epoch [150/1000], Loss: 0.0298
Epoch [200/1000], Loss: 0.0276
Epoch [250/1000], Loss: 0.0248
Epoch [300/1000], Loss: 0.0220
Epoch [350/1000], Loss: 0.0180
Epoch [400/1000], Loss: 0.0192
Epoch [450/1000], Loss: 0.0201
Epoch [500/1000], Loss: 0.0180
Epoch [550/1000], Loss: 0.0156
Epoch [600/1000], Loss: 0.0160
Epoch [650/1000], Loss: 0.0156
Epoch [700/1000], Loss: 0.0146
Epoch [750/1000], Loss: 0.0141
Epoch [800/1000], Loss: 0.0145
Epoch [850/1000], Loss: 0.0133
Epoch [900/1000], Loss: 0.0108
Epoch [950/1000], Loss: 0.0128
Epoch [999/1000], Loss: 0.0120
