alpha: 1.0, beta: 0.5
Epoch [0/10000], Loss: 1.7350
Epoch [50/10000], Loss: 0.4214
Epoch [100/10000], Loss: 0.3565
Epoch [150/10000], Loss: 0.3431
Epoch [200/10000], Loss: 0.3346
Epoch [250/10000], Loss: 0.3299
Epoch [300/10000], Loss: 0.3265
Epoch [350/10000], Loss: 0.3220
Epoch [400/10000], Loss: 0.3201
Epoch [450/10000], Loss: 0.3187
Epoch [500/10000], Loss: 0.3180
Epoch [550/10000], Loss: 0.3138
Epoch [600/10000], Loss: 0.3133
Epoch [650/10000], Loss: 0.3109
Epoch [700/10000], Loss: 0.3112
Epoch [750/10000], Loss: 0.3088
Epoch [800/10000], Loss: 0.3070
Epoch [850/10000], Loss: 0.3068
Epoch [900/10000], Loss: 0.3059
Epoch [950/10000], Loss: 0.3036
Epoch [1000/10000], Loss: 0.3052
Epoch [1050/10000], Loss: 0.3021
Epoch [1100/10000], Loss: 0.3023
Epoch [1150/10000], Loss: 0.3004
Epoch [1200/10000], Loss: 0.3007
Epoch [1250/10000], Loss: 0.2986
Epoch [1300/10000], Loss: 0.2982
Epoch [1350/10000], Loss: 0.2975
Epoch [1400/10000], Loss: 0.2966
Epoch [1450/10000], Loss: 0.2953
Epoch [1500/10000], Loss: 0.2953
Epoch [1550/10000], Loss: 0.2952
Epoch [1600/10000], Loss: 0.2929
Epoch [1650/10000], Loss: 0.2930
Epoch [1700/10000], Loss: 0.2939
Epoch [1750/10000], Loss: 0.2922
Epoch [1800/10000], Loss: 0.2918
Epoch [1850/10000], Loss: 0.2907
Epoch [1900/10000], Loss: 0.2898
Epoch [1950/10000], Loss: 0.2892
Epoch [2000/10000], Loss: 0.2892
Epoch [2050/10000], Loss: 0.2890
Epoch [2100/10000], Loss: 0.2864
Epoch [2150/10000], Loss: 0.2871
Epoch [2200/10000], Loss: 0.2856
Epoch [2250/10000], Loss: 0.2860
Epoch [2300/10000], Loss: 0.2847
Epoch [2350/10000], Loss: 0.2843
Epoch [2400/10000], Loss: 0.2838
Epoch [2450/10000], Loss: 0.2831
Epoch [2500/10000], Loss: 0.2832
Epoch [2550/10000], Loss: 0.2824
Epoch [2600/10000], Loss: 0.2815
Epoch [2650/10000], Loss: 0.2812
Epoch [2700/10000], Loss: 0.2811
Epoch [2750/10000], Loss: 0.2806
Epoch [2800/10000], Loss: 0.2791
Epoch [2850/10000], Loss: 0.2789
Epoch [2900/10000], Loss: 0.2789
Epoch [2950/10000], Loss: 0.2799
Epoch [3000/10000], Loss: 0.2776
Epoch [3050/10000], Loss: 0.2779
Epoch [3100/10000], Loss: 0.2781
Epoch [3150/10000], Loss: 0.2768
Epoch [3200/10000], Loss: 0.2756
Epoch [3250/10000], Loss: 0.2750
Epoch [3300/10000], Loss: 0.2762
Epoch [3350/10000], Loss: 0.2753
Epoch [3400/10000], Loss: 0.2743
Epoch [3450/10000], Loss: 0.2751
Epoch [3500/10000], Loss: 0.2741
Epoch [3550/10000], Loss: 0.2738
Epoch [3600/10000], Loss: 0.2722
Epoch [3650/10000], Loss: 0.2728
Epoch [3700/10000], Loss: 0.2719
Epoch [3750/10000], Loss: 0.2709
Epoch [3800/10000], Loss: 0.2715
Epoch [3850/10000], Loss: 0.2707
Epoch [3900/10000], Loss: 0.2714
Epoch [3950/10000], Loss: 0.2703
Epoch [4000/10000], Loss: 0.2698
Epoch [4050/10000], Loss: 0.2695
Epoch [4100/10000], Loss: 0.2682
Epoch [4150/10000], Loss: 0.2688
Epoch [4200/10000], Loss: 0.2683
Epoch [4250/10000], Loss: 0.2665
Epoch [4300/10000], Loss: 0.2671
Epoch [4350/10000], Loss: 0.2669
Epoch [4400/10000], Loss: 0.2662
Epoch [4450/10000], Loss: 0.2664
Epoch [4500/10000], Loss: 0.2664
